game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,passing_drops,passing_drop_pct,receiving_drop,receiving_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,def_times_blitzed,def_times_hurried,def_times_hitqb
2022_22_KC_PHI,202302120phi,2022,22,SB,PHI,KC,Jalen Hurts,HurtJa00,1,0.029,,,3,0.088,2,15,5,2,9,0.214,,,
2022_22_KC_PHI,202302120phi,2022,22,SB,KC,PHI,Patrick Mahomes,MahoPa00,0,0,,,3,0.12,0,9,2,5,7,0.233,,,
